ID,ltable_ID,rtable_ID,ltable_Title,ltable_Price,ltable_Miles,rtable_Title,rtable_Price,rtable_Miles
58,a495,b1485,2021 MINI Cooper S,24849,11758,2021 MINI Cooper S,32871,10726
59,a1975,b1153,2020 BMW X2 sDrive28i,29491,18657,2020 BMW X2 sDrive28i,29491,18657
60,a338,b1127,2021 BMW X2 sDrive28i,32394,17934,2021 BMW X2 sDrive28i,32394,17934
61,a394,b1289,2019 Audi e-tron Premium Plus,37889,20877,2019 Audi e-tron Premium Plus,37889,20877
62,a978,b1135,2020 Lexus RC 300 F Sport,40553,15854,2020 Lexus RC 300 F Sport,40553,15854
63,a1201,b1136,2023 Chevrolet Silverado 1500 Custom,42749,6810,2023 Chevrolet Silverado 1500 Custom,42749,6810
64,a1157,b1137,2022 Volvo XC60 B5 Inscription,42943,5033,2022 Volvo XC60 B5 Inscription,42943,5033
65,a577,b1138,2022 Lexus NX 350 F Sport,44594,5419,2022 Lexus NX 350 F Sport,44594,5419
66,a2000,b1139,2020 Audi SQ5 Prestige,45621,21143,2020 Audi SQ5 Prestige,45621,21143
67,a1402,b1140,2018 Porsche Macan GTS,51084,32844,2018 Porsche Macan GTS,51084,32844
68,a1531,b1141,2019 Mercedes-Benz E 53 AMG 4MATIC Sedan,52276,26282,2019 Mercedes-Benz E 53 AMG 4MATIC Sedan,52276,26282
69,a1578,b1142,2020 BMW M550i xDrive,55913,26056,2020 BMW M550i xDrive,55913,26056
70,a1257,b1143,2020 BMW 840i xDrive,60435,20940,2020 BMW 840i xDrive,60435,20940
71,a306,b1144,2023 BMW X5 sDrive40i,60516,8307,2023 BMW X5 sDrive40i,60516,8307
72,a1744,b1146,2020 BMW X7 M50i,72323,20044,2020 BMW X7 M50i,72323,20044
73,a557,b1147,2022 Chevrolet Corvette Stingray Preferred Cpe,82420,10970,2022 Chevrolet Corvette Stingray Preferred Cpe,82420,10970
74,a1337,b1148,2016 Lexus IS 300 AWD,20993,81036,2016 Lexus IS 300 AWD,20993,81036
75,a491,b1150,2021 Buick Encore GX Select,23791,8826,2021 Buick Encore GX Select,23791,8826
76,a1164,b1151,2018 Mercedes-Benz GLC 300,25495,46176,2018 Mercedes-Benz GLC 300,25495,46176
77,a330,b1152,2018 Cadillac XT5 Premium Luxury,25691,49795,2018 Cadillac XT5 Premium Luxury,25691,49795
78,a887,b1461,2020 BMW X3 sDrive30i,32199,21257,2020 BMW X3 sDrive30i,36761,15199
79,a1502,b1156,2022 Cadillac XT4 Luxury,33911,9564,2022 Cadillac XT4 Luxury,33911,9564
80,a453,b1556,2020 Lexus ES 350,34993,19740,2020 Lexus ES 350,33599,24644
81,a1242,b1158,2021 Lexus ES 350,35191,14516,2021 Lexus ES 350,35191,14516
82,a658,b1159,2015 Toyota Corolla LE,10899,79625,2015 Toyota Corolla LE,10899,79625
83,a989,b1160,2017 Kia Sportage EX,17899,49260,2017 Kia Sportage EX,17899,49260
84,a1558,b1249,2020 Hyundai Elantra Value Edition,17699,24065,2020 Hyundai Elantra Value Edition,17699,24065
85,a528,b1162,2019 Volkswagen Atlas SE,26899,30746,2019 Volkswagen Atlas SE,26899,30746
86,a710,b1163,2017 Ford Escape SE,13998,50095,2017 Ford Escape SE,13998,50095
87,a1846,b1238,2020 Nissan Kicks SR,20490,28727,2020 Nissan Kicks SR,20490,28727
88,a580,b1487,2023 Cadillac XT4 Premium Luxury,37498,5710,2023 Cadillac XT4 Premium Luxury,43891,2665
89,a938,b1544,2021 Toyota Corolla LE,21990,22505,2021 Toyota Corolla LE,19999,8895
90,a1663,b1602,2020 Toyota Corolla LE,19499,27289,2020 Toyota Corolla LE,17498,41437
91,a751,b1174,2017 Mercedes-Benz E 300,25399,36532,2017 Mercedes-Benz E 300,25399,36532
92,a891,b1177,2021 Toyota Venza LE,30989,9441,2021 Toyota Venza LE,30989,9441
93,a643,b1178,2019 RAM 1500 Laramie Longhorn,45998,31517,2019 RAM 1500 Laramie Longhorn,45998,31517
94,a410,b1179,2020 Ford Ranger XL,25991,41513,2020 Ford Ranger XL,25991,41513
95,a1381,b1181,2020 Lexus UX 200 F Sport,29889,27552,2020 Lexus UX 200 F Sport,29889,27552
96,a1638,b1183,2021 Chevrolet Equinox LS,17995,19639,2021 Chevrolet Equinox LS,17995,19639
97,a548,b1184,2016 Maserati Ghibli S Q4,18377,63250,2016 Maserati Ghibli S Q4,18377,63250
98,a1782,b1185,2016 BMW X4 xDrive28i,19850,57240,2016 BMW X4 xDrive28i,19850,57240
99,a376,b1186,2015 Ford Mustang Convertible,18490,62380,2015 Ford Mustang Convertible,18490,62380
100,a1920,b1187,2020 Buick Encore Preferred,19990,7697,2020 Buick Encore Preferred,19990,7697
101,a1550,b1189,2022 Buick Encore Preferred,23990,6401,2022 Buick Encore Preferred,23990,6401
102,a1390,b1190,2018 Audi A4 2.0T Premium Plus,24990,46461,2018 Audi A4 2.0T Premium Plus,24990,46461
103,a1747,b1192,2019 FIAT 500 Pop,15998,25271,2019 FIAT 500 Pop,15998,25271
104,a1755,b1391,2019 Jeep Compass Latitude,20998,17105,2019 Jeep Compass Latitude,21195,32632
105,a646,b1194,2022 Kia Soul Turbo,23998,3650,2022 Kia Soul Turbo,23998,3650
106,a1637,b1195,2016 Dodge Challenger R/T Plus,23998,57155,2016 Dodge Challenger R/T Plus,23998,57155
107,a1326,b1196,2017 BMW X5 xDrive35i,25998,58253,2017 BMW X5 xDrive35i,25998,58253
108,a1338,b1198,2022 Land Rover Range Rover Velar R-Dynamic S,54998,9196,2022 Land Rover Range Rover Velar R-Dynamic S,54998,9196
109,a572,b1201,2020 Volvo XC60 T5 Momentum,32490,18138,2020 Volvo XC60 T5 Momentum,32490,18138
110,a850,b1236,2019 Chevrolet Equinox LS,17490,48780,2019 Chevrolet Equinox LS,17490,48780
111,a571,b1203,2023 GMC Sierra 1500 AT4,68991,5487,2023 GMC Sierra 1500 AT4,68991,5487
112,a992,b1204,2020 MAZDA CX-30 FWD,20090,14125,2020 MAZDA CX-30 FWD,20090,14125
113,a1133,b1205,2021 MAZDA MAZDA3 s,23000,5622,2021 MAZDA MAZDA3 s,23000,5622
114,a307,b1353,2022 Volkswagen Taos SE,25714,4398,2022 Volkswagen Taos SE,25990,5575
115,a1486,b1209,2019 Audi A4 2.0T Premium,26945,13734,2019 Audi A4 2.0T Premium,26945,13734
116,a1733,b1215,2021 GMC Terrain SLE,23490,18427,2021 GMC Terrain SLE,23490,18427
